kalshi_ticker,kalshi_title,polymarket_slug,polymarket_question,similarity_score,category,kalshi_expiry,polymarket_end_date
KXMVESPORTSMULTIGAMEEXTENDED-S2026881D8906EF3-9260921E59D,"yes Duncan Robinson: 10+,yes Detroit wins by over 7.5 points,no Over 219.5 points scored",nba-orl-det-2026-04-22-points-duncan-robinson-2pt5,Duncan Robinson: Points O/U 2.5,0.7553,Duncan Robinson: Points O/U 2.5,2026-05-06T23:00:00Z,2026-04-22T23:00:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S20264F7C4CD177D-F5AF957B8A3,"yes Duncan Robinson: 3+,yes Cade Cunningham: 10+,yes Detroit wins by over 7.5 points",nba-orl-det-2026-04-22-points-duncan-robinson-2pt5,Duncan Robinson: Points O/U 2.5,0.7543,Duncan Robinson: Points O/U 2.5,2026-05-06T23:00:00Z,2026-04-22T23:00:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S20269BDE77599B3-97ED1BACF7A,"yes Both Teams To Score,yes Leverkusen,yes Bayern Munich",bun-koe-b04-2026-04-25-btts,1. FC Köln vs. Bayer 04 Leverkusen: Both Teams to Score,0.7542,Both Teams to Score,2026-05-09T13:30:00Z,2026-04-25T13:30:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S2026BCEA47ADB1D-888DD64E057,"yes Atletico,yes Yes",mex-jua-asl-2026-04-25-asl,Will Atlético San Luis win on 2026-04-25?,0.7542,Atlético San Luis,2026-05-06T17:00:00Z,2026-04-26T03:00:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S20260E218F54B09-2327E9117B9,"yes Both Teams To Score,yes Both Teams To Score,yes Both Teams To Score,yes Barcelona,yes Real Sociedad,no Elche wins by over 1.5 goals",lal-elc-mad-2026-04-22-btts,Elche CF vs. Club Atlético de Madrid: Both Teams to Score,0.7542,Both Teams to Score,2026-05-06T19:30:00Z,2026-04-22T17:00:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S20265C7FBBA71EC-B9B36D6C607,"yes Shai Gilgeous-Alexander: 1+,yes Shai Gilgeous-Alexander: 6+,yes Oklahoma City,yes Shai Gilgeous-Alexander: 25+,no Oklahoma City wins by over 15.5 points,yes Over 215.5 points scored",nba-phx-okc-2026-04-22-assists-shai-gilgeous-alexander-6pt5,Shai Gilgeous-Alexander: Assists O/U 6.5,0.7535,Shai Gilgeous-Alexander: Assists O/U 6.5,2026-05-07T01:30:00Z,2026-04-23T01:30:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S2026868EE3DD3E1-6DBEBFF286C,"yes Duncan Robinson: 2+,yes Cade Cunningham: 25+,yes Tobias Harris: 10+,yes Paolo Banchero: 15+,yes Paolo Banchero: 4+,yes Wendell Carter Jr.: 4+,yes Over 204.5 points scored",nba-orl-det-2026-04-22-points-duncan-robinson-2pt5,Duncan Robinson: Points O/U 2.5,0.7533,Duncan Robinson: Points O/U 2.5,2026-05-06T23:00:00Z,2026-04-22T23:00:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S2026081745E26FC-3C0654CA55B,"yes Bayern Munich,yes Both Teams To Score,yes Atletico,yes Bayern Munich",uwcl-fcb-bm-2026-05-03-btts,FC Barcelona vs. FC Bayern München: Both Teams to Score,0.7532,Both Teams to Score,2026-05-09T13:30:00Z,2026-05-03T14:30:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S202614D721DC7EF-7DED97F4636,"yes Both Teams To Score,yes Both Teams To Score,yes Leverkusen,yes Bayern Munich",bun-koe-b04-2026-04-25-btts,1. FC Köln vs. Bayer 04 Leverkusen: Both Teams to Score,0.7528,Both Teams to Score,2026-05-09T13:30:00Z,2026-04-25T13:30:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S2026A39C908BCEE-6B47BA1E2C9,"yes Tobias Harris: 2+,yes Over 201.5 points scored,yes Over 200.5 points scored",nba-orl-det-2026-04-22-points-tobias-harris-14pt5,Tobias Harris: Points O/U 14.5,0.7524,Tobias Harris: Points O/U 14.5,2026-05-06T23:00:00Z,2026-04-22T23:00:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S2026F27310D1E28-53CA86EF0B5,"yes Duncan Robinson: 1+,yes Oklahoma City,yes Isaiah Hartenstein: 4+,no Detroit wins by over 22.5 points,yes Over 201.5 points scored",nba-orl-det-2026-04-22-points-duncan-robinson-2pt5,Duncan Robinson: Points O/U 2.5,0.7506,Duncan Robinson: Points O/U 2.5,2026-05-06T23:00:00Z,2026-04-22T23:00:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S2026F3F82C891D2-46818BA7219,"yes Shai Gilgeous-Alexander: 6+,yes Oklahoma City,yes Shai Gilgeous-Alexander: 25+,no Oklahoma City wins by over 15.5 points,no Over 215.5 points scored",nba-phx-okc-2026-04-22-assists-shai-gilgeous-alexander-6pt5,Shai Gilgeous-Alexander: Assists O/U 6.5,0.7506,Shai Gilgeous-Alexander: Assists O/U 6.5,2026-05-07T01:30:00Z,2026-04-23T01:30:00Z
KXMVECROSSCATEGORY-S202645FF98C4C52-6CE8F5F9F0F,"yes Franz Wagner: 10+,no Over 221.5 points scored",nba-orl-det-2026-04-22-points-franz-wagner-17pt5,Franz Wagner: Points O/U 17.5,0.7505,Franz Wagner: Points O/U 17.5,2026-05-06T23:00:00Z,2026-04-22T23:00:00Z
